"filename", "language", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\gitFork\consulttrainfrontend\src\app\page\vehicle\vehicle.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\vehicle\vehicle.component.html", "HTML", 0, 0, 163, 1, 2, 166
"d:\gitFork\consulttrainfrontend\src\app\page\vehicle\vehicle.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\vehicle\vehicle.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\page\visual\visual.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\visual\visual.component.html", "HTML", 0, 0, 159, 1, 2, 162
"d:\gitFork\consulttrainfrontend\src\app\page\visual\visual.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\visual\visual.component.ts", "TypeScript", 0, 60, 0, 0, 7, 67
"d:\gitFork\consulttrainfrontend\src\app\services\activity.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\activity.service.ts", "TypeScript", 0, 56, 0, 30, 9, 95
"d:\gitFork\consulttrainfrontend\src\app\services\assessment.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\assessment.service.ts", "TypeScript", 0, 14, 0, 4, 3, 21
"d:\gitFork\consulttrainfrontend\src\app\services\auth.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\auth.service.ts", "TypeScript", 0, 81, 0, 13, 8, 102
"d:\gitFork\consulttrainfrontend\src\app\services\bloodgroup.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\bloodgroup.service.ts", "TypeScript", 0, 29, 0, 0, 5, 34
"d:\gitFork\consulttrainfrontend\src\app\services\client.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\client.service.ts", "TypeScript", 0, 63, 0, 0, 7, 70
"d:\gitFork\consulttrainfrontend\src\app\services\contractor.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\contractor.service.ts", "TypeScript", 0, 51, 0, 17, 6, 74
"d:\gitFork\consulttrainfrontend\src\app\services\dltype.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\dltype.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\driver.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\driver.service.ts", "TypeScript", 0, 191, 0, 58, 17, 266
"d:\gitFork\consulttrainfrontend\src\app\services\location.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\location.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\result.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\result.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\stage.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\stage.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\title.service.spec.ts", "TypeScript", 0, 12, 0, 0, 5, 17
"d:\gitFork\consulttrainfrontend\src\app\services\title.service.ts", "TypeScript", 0, 29, 0, 15, 5, 49
"d:\gitFork\consulttrainfrontend\src\app\services\token.interceptor.spec.ts", "TypeScript", 0, 13, 0, 0, 5, 18
